Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
index % time    self  children    called     name
                0.00    0.00       6/67          std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&) [39]
                0.00    0.00       9/67          std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int) [30]
                0.00    0.00      20/67          std::_Bit_iterator::_Bit_iterator() [19]
                0.00    0.00      32/67          std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int) [10]
[8]      0.0    0.00    0.00      67         std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int) [8]
-----------------------------------------------
                0.00    0.00       9/39          std::_Bit_const_iterator::operator*() const [28]
                0.00    0.00      30/39          std::_Bit_iterator::operator*() const [11]
[9]      0.0    0.00    0.00      39         std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long) [9]
-----------------------------------------------
                0.00    0.00       3/32          std::vector<bool, std::allocator<bool> >::_M_copy_aligned(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [80]
                0.00    0.00       5/32          std::vector<bool, std::allocator<bool> >::_M_initialize(unsigned long) [63]
                0.00    0.00      24/32          std::vector<bool, std::allocator<bool> >::begin() [16]
[10]     0.0    0.00    0.00      32         std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int) [10]
